               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.021162,           0.0059445,          0.00068491,             0.99223,             0.99979,             0.99497,             0.75382,            0.016976,           0.0031721,          0.00019207,            0.005347,            0.005347,            0.005347
                  49,            0.021365,           0.0061241,          0.00083931,              0.9974,              0.9965,               0.995,             0.76489,            0.017579,           0.0033014,          0.00020879,            0.005248,            0.005248,            0.005248
                  50,            0.021327,           0.0060508,          0.00076439,              0.9983,              0.9946,               0.995,             0.75659,            0.017149,           0.0032674,          0.00027549,            0.005149,            0.005149,            0.005149
                  51,            0.021045,           0.0057943,          0.00053493,             0.99915,                   1,               0.995,              0.7556,            0.016285,           0.0031581,           0.0002411,             0.00505,             0.00505,             0.00505
                  52,            0.020428,            0.006032,          0.00046396,             0.99887,             0.99903,               0.995,              0.7525,            0.016201,           0.0031064,          0.00018647,            0.004951,            0.004951,            0.004951
                  53,            0.020487,           0.0060527,          0.00036793,             0.99824,             0.99907,               0.995,             0.75911,            0.015977,           0.0031528,          0.00017772,            0.004852,            0.004852,            0.004852
                  54,            0.019619,            0.005505,          0.00041797,             0.99704,                   1,               0.995,             0.77143,            0.015482,           0.0031374,           0.0002089,            0.004753,            0.004753,            0.004753
                  55,            0.019863,           0.0057313,          0.00076338,              0.9977,              0.9965,               0.995,             0.77908,            0.015639,           0.0031039,          0.00020985,            0.004654,            0.004654,            0.004654
                  56,            0.020158,            0.005618,          0.00070883,              0.9986,                   1,               0.995,             0.77958,             0.01599,            0.003115,          0.00019684,            0.004555,            0.004555,            0.004555
                  57,            0.020249,            0.005802,          0.00045338,              0.9949,                   1,               0.995,             0.77121,             0.01637,           0.0030421,          0.00017993,            0.004456,            0.004456,            0.004456
                  58,            0.020659,           0.0058525,          0.00054689,             0.99555,             0.99652,               0.995,             0.78321,            0.015516,           0.0030122,          0.00016404,            0.004357,            0.004357,            0.004357
                  59,            0.019555,           0.0055343,          0.00042414,             0.99466,              0.9968,               0.995,              0.7823,            0.016121,           0.0031495,          0.00015937,            0.004258,            0.004258,            0.004258
                  60,            0.019039,           0.0055571,          0.00031878,             0.98808,              0.9974,             0.99472,             0.78942,             0.01491,           0.0030885,           0.0001613,            0.004159,            0.004159,            0.004159
                  61,            0.018984,           0.0052896,          0.00044292,              0.9954,             0.99703,             0.99497,             0.78224,            0.015706,           0.0030764,          0.00015812,             0.00406,             0.00406,             0.00406
                  62,            0.019403,           0.0055345,          0.00040631,             0.99551,              0.9973,             0.99479,             0.77545,            0.016135,           0.0030807,          0.00016181,            0.003961,            0.003961,            0.003961
                  63,            0.018501,           0.0052776,          0.00040912,             0.99455,             0.99925,             0.99493,             0.76894,            0.015401,           0.0030891,          0.00015103,            0.003862,            0.003862,            0.003862
                  64,            0.018263,           0.0054352,           0.0003454,             0.99519,                   1,             0.99497,             0.79024,            0.015287,            0.003013,          0.00015423,            0.003763,            0.003763,            0.003763
                  65,            0.017974,           0.0053102,          0.00029656,              0.9951,             0.99978,               0.995,             0.78179,            0.015407,           0.0029689,           0.0001446,            0.003664,            0.003664,            0.003664
                  66,            0.017723,           0.0053837,          0.00042339,             0.99538,                   1,               0.995,             0.79193,            0.014653,           0.0030133,          0.00014995,            0.003565,            0.003565,            0.003565
                  67,             0.01801,           0.0054371,          0.00035585,             0.99898,                   1,               0.995,             0.78238,            0.014816,           0.0028753,          0.00015378,            0.003466,            0.003466,            0.003466
                  68,            0.018265,           0.0054895,          0.00039505,             0.99504,                   1,               0.995,             0.78135,            0.015252,           0.0029228,          0.00014193,            0.003367,            0.003367,            0.003367
                  69,            0.017919,           0.0051913,          0.00043926,             0.99492,             0.99957,               0.995,             0.79101,            0.014853,           0.0029375,          0.00014293,            0.003268,            0.003268,            0.003268
                  70,            0.017388,           0.0051906,          0.00034463,              0.9954,             0.99987,               0.995,             0.79454,            0.014734,           0.0028873,          0.00014103,            0.003169,            0.003169,            0.003169
                  71,            0.017307,           0.0053578,          0.00047611,              0.9956,                   1,               0.995,             0.79141,            0.014972,           0.0029521,           0.0001151,             0.00307,             0.00307,             0.00307
                  72,            0.017215,           0.0052181,          0.00024444,             0.99568,              0.9965,             0.99493,             0.79023,            0.015339,           0.0028687,          0.00011373,            0.002971,            0.002971,            0.002971
                  73,            0.017702,           0.0054112,          0.00045239,             0.99581,             0.99996,             0.99483,             0.78676,            0.015496,           0.0029197,          0.00012228,            0.002872,            0.002872,            0.002872
                  74,            0.017029,           0.0050622,          0.00030591,              0.9953,                   1,             0.99497,             0.79053,            0.014791,           0.0029425,          0.00013309,            0.002773,            0.002773,            0.002773
                  75,            0.016651,           0.0051037,          0.00024244,             0.99369,             0.99945,             0.99493,             0.80769,            0.014324,           0.0029178,          0.00011001,            0.002674,            0.002674,            0.002674
                  76,            0.016742,           0.0051755,          0.00038727,             0.99535,             0.99682,             0.99497,             0.79855,             0.01482,           0.0029251,          9.7229e-05,            0.002575,            0.002575,            0.002575
                  77,            0.016472,           0.0050472,          0.00032582,             0.99321,             0.99954,             0.99497,             0.80053,            0.014666,            0.002908,          9.6819e-05,            0.002476,            0.002476,            0.002476
                  78,            0.016185,           0.0048499,          0.00038395,             0.99371,             0.99964,               0.995,             0.79673,            0.014526,           0.0028622,          0.00010295,            0.002377,            0.002377,            0.002377
                  79,            0.016445,           0.0049137,          0.00046239,             0.99519,             0.99994,               0.995,             0.79902,            0.015089,            0.002888,          0.00010961,            0.002278,            0.002278,            0.002278
                  80,            0.015734,           0.0050473,          0.00026509,              0.9953,                   1,             0.99486,             0.80032,            0.014849,           0.0028906,          0.00010388,            0.002179,            0.002179,            0.002179
                  81,            0.015784,            0.005013,           0.0002965,              0.9958,                   1,               0.995,             0.80406,            0.014468,           0.0028704,          9.9818e-05,             0.00208,             0.00208,             0.00208
                  82,            0.015834,           0.0049652,          0.00024665,             0.99584,                   1,               0.995,             0.79572,             0.01477,           0.0028596,           8.743e-05,            0.001981,            0.001981,            0.001981
                  83,            0.015575,           0.0050375,          0.00030346,             0.99568,                   1,               0.995,             0.79628,            0.014768,           0.0029012,          8.4967e-05,            0.001882,            0.001882,            0.001882
                  84,            0.015659,           0.0049878,          0.00028225,             0.99411,             0.99948,               0.995,             0.79674,            0.014922,           0.0028763,          8.1844e-05,            0.001783,            0.001783,            0.001783
                  85,            0.014955,           0.0047862,          0.00020887,             0.99547,                   1,               0.995,             0.80174,            0.014332,           0.0028759,          7.7807e-05,            0.001684,            0.001684,            0.001684
                  86,            0.015258,           0.0046935,          0.00025575,             0.99581,                   1,               0.995,             0.80092,            0.014082,           0.0028306,           7.474e-05,            0.001585,            0.001585,            0.001585
                  87,            0.015372,           0.0044799,          0.00035287,             0.99583,                   1,             0.99493,             0.80798,            0.014293,            0.002825,          7.5169e-05,            0.001486,            0.001486,            0.001486
                  88,            0.014746,            0.004708,          0.00024301,             0.99605,                   1,             0.99493,              0.8072,            0.014519,            0.002829,          7.2683e-05,            0.001387,            0.001387,            0.001387
                  89,            0.014798,           0.0049233,          0.00022693,              0.9957,                   1,             0.99493,             0.79718,            0.014411,           0.0028373,          6.8536e-05,            0.001288,            0.001288,            0.001288
                  90,            0.014782,           0.0048076,          0.00024941,             0.99561,                   1,              0.9949,             0.80445,            0.014446,            0.002811,           6.543e-05,            0.001189,            0.001189,            0.001189
                  91,            0.014614,           0.0047696,          0.00015888,             0.99584,                   1,             0.99483,             0.81136,            0.014424,           0.0027978,          6.2955e-05,             0.00109,             0.00109,             0.00109
                  92,            0.013999,           0.0046726,           0.0001209,             0.99585,                   1,             0.99486,             0.81117,            0.013868,           0.0027688,          6.1292e-05,            0.000991,            0.000991,            0.000991
                  93,            0.014355,           0.0045749,          0.00013708,             0.99587,                   1,             0.99493,             0.81391,            0.013908,           0.0027579,          6.0243e-05,            0.000892,            0.000892,            0.000892
                  94,            0.014649,            0.004466,          0.00020068,             0.99593,                   1,               0.995,             0.81442,            0.013899,           0.0027758,          5.8997e-05,            0.000793,            0.000793,            0.000793
                  95,            0.014537,           0.0045506,          0.00024506,             0.99596,                   1,               0.995,              0.8153,            0.013903,           0.0027739,          5.8248e-05,            0.000694,            0.000694,            0.000694
                  96,            0.014013,           0.0045671,          0.00016588,               0.996,                   1,               0.995,               0.813,            0.013881,           0.0027922,          5.7068e-05,            0.000595,            0.000595,            0.000595
                  97,             0.01385,           0.0045224,          0.00032432,             0.99599,                   1,               0.995,             0.81383,            0.013751,           0.0027899,          5.6536e-05,            0.000496,            0.000496,            0.000496
                  98,            0.013663,           0.0045782,          0.00010967,             0.99601,                   1,               0.995,             0.81465,            0.013695,           0.0027996,          5.5905e-05,            0.000397,            0.000397,            0.000397
                  99,             0.01367,           0.0045444,          0.00021594,             0.99602,                   1,               0.995,             0.81304,            0.013918,           0.0027869,          5.4378e-05,            0.000298,            0.000298,            0.000298
